"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"VOLKSWAGEN", "GOLF", "KPK3892", "WVWZZZ1JZ3W557296", "KOVINSKI - ČRNA", "11.04.2006"
"TOMOS", "APN 6", "MBE3110", "476935", "", "11.04.2006"
"HYUNDAI", "PONY", "LJP483X", "KMHVA31JPMU011755", "KOVINSKI - SIVA", "10.04.2006"
"PIAGGIO", "GILERA RUNNER 50", "LJK5285", "ZAPC1400003033572", "NAVADEN - RUMENA", "10.04.2006"
"VOLKSWAGEN", "GOLF", "LJX375L", "WVWZZZ1JZXW730899", "", "10.04.2006"
"", "L 207", "NERG", "60236710691883", "NAVADEN - BELA", "08.04.2006"
"AUDI", "", "NERG", "XAVZZZ81ZEA142621", "", "08.04.2006"
"VOLKSWAGEN", "GOLF", "KRK8995", "WVWZZZ1JZ1D135466", "KOVINSKI - SIVA", "07.04.2006"
"PIAGGIO", "GILERA RUNNER 50", "LJK1211", "ZAPC1400003083853", "NAVADEN - RDEČA", "07.04.2006"
"UNIS", "GOLF", "NMA5371", "WVWZZZ1GZKW314712", "KOVINSKI - ZELENA", "05.04.2006"
"GILERA", "", "CEK548", "154051636", "NAVADEN - RDEČA", "05.04.2006"
"ŠKODA", "OCTAVIA", "LJ797JK", "TMBZZZ1U4W2132730", "NAVADEN - BELA", "05.04.2006"
"TOYOTA", "YARIS", "LJS240M", "JTDKV123303172156", "KOVINSKI - SIVA", "05.04.2006"
"VOLKSWAGEN", "GOLF", "NMF6815", "WVWZZZ1JZYW539323", "NAVADEN - BELA", "05.04.2006"
"STEYR", "VSI TIPI", "MBS105", "026880912", "NAVADEN - RDEČA", "04.04.2006"
"RENAULT", "CLIO", "GOS8301", "VF1BB080F29834126", "KOVINSKI - MODRA", "04.04.2006"
"VOLKSWAGEN", "GOLF", "CEU1550", "WVWZZZ1JZ3W648263", "KOVINSKI - ČRNA", "04.04.2006"
"RENAULT", "MEGANE", "LJ544AC", "VF1BM0G0629227001", "KOVINSKI - RDEČA", "03.04.2006"
"TOYOTA", "YARIS", "LJZ838X", "VNKKV12340A202185", "KOVINSKI - SIVA", "03.04.2006"
"TOMOS", "A 35", "LJK6318", "995113", "NAVADEN - RDEČA", "03.04.2006"
"AUDI", "A 4", "KP2127V", "WAUZZZ8E63A306469", "KOVINSKI - RDEČA", "03.04.2006"
"RENAULT", "CLIO", "GOS8584", "VF1BB07CF27160393", "KOVINSKI - SIVA", "03.04.2006"
"RENAULT", "CLIO", "MBE7654", "VF1BB0A0F19383834", "KOVINSKI - SIVA", "03.04.2006"
